iter	RMSE
0	111451.4514
1	107591.925
2	103923.7864
3	100451.9408
4	97419.1243
5	94678.43562
6	91939.48232
7	89631.31411
8	87509.76093
9	85612.66909
10	83875.4977
11	82266.20868
12	80815.28218
13	79435.0701
14	78058.37698
15	76830.86226
16	75702.07772
17	74759.72062
18	73871.94024
19	72977.20007
20	72224.45712
21	71496.64517
22	70841.82447
23	70268.45926
24	69710.46619
25	69192.59566
26	68654.2431
27	68115.35298
28	67513.62383
29	67102.81336
30	66693.22165
31	66287.71316
32	65943.76013
33	65548.12594
34	65220.05558
35	64918.95129
36	64593.11655
37	64360.26852
38	63948.6268
39	63664.10386
40	63362.74169
41	63154.98998
42	62923.50066
43	62593.919
44	62340.18919
45	62121.12364
46	61893.81352
47	61668.38381
48	61462.91393
49	61242.59601
50	61046.57767
51	60831.03218
52	60588.23339
53	60434.0819
54	60172.25414
55	59997.61704
56	59688.16665
57	59528.83893
58	59331.02073
59	59202.44877
60	59034.33759
61	58874.77973
62	58749.45265
63	58527.08032
64	58382.51686
65	58230.33651
66	58084.59349
67	57944.25207
68	57719.31138
69	57568.54327
70	57381.11309
71	57285.85023
72	57151.11145
73	57046.24239
74	56950.10555
75	56786.46069
76	56559.45418
77	56470.22046
78	56392.40492
79	56232.18313
80	56032.12785
81	55954.99892
82	55836.81626
83	55737.8326
84	55647.85558
85	55545.98927
86	55420.7155
87	55324.11166
88	55226.48211
89	55100.01711
90	55015.29146
91	54942.01269
92	54859.89693
93	54783.18436
94	54704.69019
95	54605.33721
96	54523.53996
97	54437.54744
98	54359.29337
99	54248.85725
100	54162.06992
101	54089.03204
102	53926.86017
103	53851.72689
104	53785.26605
105	53667.89385
106	53605.58496
107	53523.6494
108	53419.25028
109	53349.40287
110	53250.75902
111	53188.48108
112	53075.96235
113	53030.61095
114	52914.73093
115	52871.39738
116	52817.80364
117	52741.36957
118	52692.4038
119	52622.02761
120	52572.88795
121	52517.55745
122	52407.83002
123	52295.26715
124	52242.76295
125	52210.17269
126	52163.73806
127	52090.10135
128	52053.11817
129	52007.4656
130	51926.55182
131	51875.05225
132	51835.94078
133	51770.21871
134	51729.90954
135	51677.18336
136	51619.96357
137	51526.75987
138	51461.57525
139	51390.12372
140	51327.02467
141	51238.22352
142	51204.06965
143	51163.88921
144	51095.46313
145	51055.02785
146	50985.22322
147	50913.89324
148	50871.56357
149	50829.42475
150	50769.6079
151	50699.44681
152	50620.17603
153	50586.9343
154	50533.18953
155	50468.09487
156	50411.42926
157	50382.06192
158	50347.80911
159	50309.25401
160	50264.83923
161	50232.17208
162	50197.2506
163	50108.80908
164	50056.55175
165	49944.90943
166	49909.22222
167	49868.93145
168	49847.73658
169	49782.14122
170	49720.51616
171	49681.88009
172	49643.31758
173	49620.32295
174	49563.97691
175	49510.65783
176	49482.69954
177	49437.32991
178	49397.42473
179	49367.87222
180	49287.86741
181	49252.86173
182	49213.73133
183	49161.12642
184	49104.75211
185	49059.31379
186	49009.52976
187	48976.1779
188	48948.83698
189	48854.68444
190	48817.69153
191	48790.24657
192	48740.09685
193	48709.21412
194	48639.49998
195	48613.42454
196	48544.36159
197	48511.44386
198	48478.07506
199	48456.66468
200	48416.96808
201	48382.04152
202	48329.16227
203	48276.04617
204	48227.2203
205	48149.44584
206	48083.69737
207	48042.3857
208	47992.85765
209	47964.49519
210	47894.28195
211	47847.36251
212	47822.99958
213	47797.69552
214	47745.51439
215	47708.26885
216	47668.94041
217	47615.00485
218	47572.22574
219	47534.94101
220	47513.17492
221	47478.70195
222	47442.16242
223	47399.34578
224	47364.63461
225	47307.47721
226	47277.98751
227	47241.57734
228	47200.71687
229	47179.04048
230	47155.51212
231	47107.30558
232	47067.70965
233	47036.64799
234	47012.93444
235	46972.9776
236	46944.65532
237	46917.84971
238	46887.89429
239	46836.90175
240	46812.25202
241	46779.28498
242	46751.01535
243	46721.63888
244	46690.3018
245	46650.33962
246	46617.71392
247	46587.26411
248	46556.46918
249	46535.83433
250	46499.78329
251	46467.25765
252	46445.76798
253	46410.26871
254	46391.4052
255	46361.18535
256	46328.82726
257	46302.90695
258	46267.20784
259	46248.57309
260	46214.03314
261	46196.72418
262	46159.48574
263	46129.03691
264	46110.05466
265	46073.31425
266	46045.25556
267	46014.81505
268	45996.32522
269	45970.18648
270	45939.63672
271	45910.83821
272	45885.49886
273	45855.71006
274	45836.81521
275	45816.80331
