iter	Passed	Remaining
0	63	63568
1	65	32823
2	67	22331
3	68	17040
4	69	13866
5	70	11743
6	72	10224
7	73	9087
8	74	8203
9	75	7500
10	76	6916
11	78	6434
12	79	6020
13	80	5668
14	81	5364
15	82	5098
16	84	4870
17	85	4661
18	86	4470
19	87	4300
20	89	4150
21	90	4012
22	91	3885
23	92	3768
24	93	3660
25	95	3561
26	96	3467
27	97	3381
28	98	3300
29	99	3226
30	100	3155
31	102	3090
32	103	3028
33	104	2972
34	105	2918
35	107	2866
36	108	2818
37	109	2771
38	110	2726
39	111	2687
40	113	2648
41	114	2610
42	115	2574
43	116	2540
44	118	2506
45	119	2474
46	120	2442
47	121	2411
48	122	2382
49	123	2354
50	125	2328
51	126	2303
52	127	2278
53	128	2255
54	129	2233
55	131	2213
56	132	2191
57	133	2172
58	134	2152
59	136	2133
60	137	2115
61	138	2097
62	139	2080
63	141	2063
64	142	2047
65	143	2031
66	144	2016
67	146	2001
68	147	1988
69	148	1973
70	149	1960
71	151	1947
72	152	1934
73	153	1921
74	154	1909
75	156	1897
76	157	1885
77	158	1873
78	159	1862
79	161	1851
80	162	1842
81	163	1831
82	164	1821
83	166	1811
84	167	1801
85	168	1791
86	169	1782
87	171	1772
88	172	1763
89	173	1754
90	174	1745
91	175	1735
92	177	1727
93	178	1719
94	179	1710
95	180	1702
96	182	1694
97	183	1686
98	184	1678
99	185	1670
100	186	1664
101	188	1656
102	189	1649
103	190	1642
104	191	1636
105	193	1630
106	194	1623
107	195	1616
108	197	1610
109	198	1604
110	199	1597
111	200	1591
112	201	1585
113	203	1580
114	204	1574
115	205	1568
116	207	1563
117	208	1557
118	209	1552
119	211	1547
120	212	1542
121	213	1536
122	214	1531
123	216	1527
124	217	1521
125	218	1516
126	219	1511
127	221	1506
128	222	1501
129	223	1497
130	225	1493
131	226	1488
132	227	1483
133	228	1479
134	230	1474
135	231	1469
136	232	1465
137	233	1461
138	235	1457
139	236	1452
140	237	1448
141	239	1444
142	240	1440
143	241	1436
144	242	1431
145	244	1427
146	245	1423
147	246	1419
148	247	1415
149	249	1411
150	250	1407
151	252	1406
152	253	1404
153	255	1402
154	256	1399
155	258	1396
156	259	1394
157	261	1392
158	262	1390
159	264	1388
160	266	1386
161	267	1384
162	269	1381
163	270	1379
164	271	1376
165	273	1372
166	274	1368
167	275	1365
168	276	1361
169	278	1359
170	279	1355
171	281	1352
172	282	1350
173	283	1346
174	285	1343
175	286	1340
176	287	1337
177	288	1333
178	290	1330
179	291	1327
180	292	1324
181	293	1321
182	295	1317
183	296	1315
184	297	1312
185	299	1309
186	300	1306
187	301	1303
188	302	1299
189	304	1297
190	305	1294
191	307	1294
192	309	1292
193	310	1290
194	311	1287
195	313	1284
196	314	1281
197	315	1278
198	316	1275
199	318	1272
200	319	1269
201	320	1266
202	321	1263
203	323	1260
204	324	1258
205	325	1255
206	326	1252
207	328	1250
208	329	1247
209	330	1244
210	332	1241
211	333	1239
212	334	1236
213	335	1233
214	337	1231
215	338	1228
216	339	1226
217	341	1223
218	342	1220
219	343	1218
220	344	1215
221	346	1213
222	347	1210
223	348	1207
224	349	1205
225	351	1202
226	352	1199
227	353	1197
228	354	1194
229	356	1192
230	357	1189
231	358	1187
232	359	1184
233	361	1182
234	362	1180
235	363	1177
236	365	1175
237	366	1172
238	367	1170
239	368	1167
240	370	1165
241	371	1163
242	372	1160
243	373	1158
244	375	1155
245	376	1153
246	377	1151
247	378	1149
248	380	1147
249	381	1144
250	382	1142
251	384	1140
252	385	1137
253	386	1135
254	387	1133
255	389	1130
256	390	1128
257	391	1126
258	393	1124
259	394	1122
260	395	1120
261	396	1117
262	398	1115
263	399	1113
264	400	1111
265	401	1109
266	403	1106
267	404	1104
268	405	1102
269	407	1100
